,bjd,rv,rv_err,ha,ha_err,hb,hb_err,hg,hg_err,na,na_err,s,s_err,fwhm,inst
30,58468.683897,-5681.3,1.8,6.9,0.02,5.47,0.04,11.9,0.13,0.7,0.02,0.68,0.06,3.0591,23.3835
31,58468.750681,-5681.5,1.7,6.88,0.02,5.33,0.04,11.9,0.13,0.67,0.01,0.68,0.07,3.0581,23.247
32,58468.821169,-5681.7,1.9,6.95,0.02,5.49,0.05,12.37,0.15,0.71,0.02,0.62,0.09,3.0503,23.1931
33,58469.692737,-5677.6,1.9,6.9,0.02,5.32,0.05,11.27,0.14,0.68,0.02,0.67,0.08,3.0536,23.2966
34,58469.766535,-5678.3,1.8,7.09,0.02,5.89,0.04,12.78,0.14,0.74,0.02,0.74,0.08,3.0591,23.2273
35,58469.822751,-5675.6,2.1,6.9,0.02,5.34,0.05,12.31,0.16,0.69,0.02,0.68,0.1,3.0498,23.2401
36,58471.701795,-5678.0,1.6,6.97,0.02,5.56,0.04,12.0,0.11,0.7,0.01,0.69,0.06,3.0533,23.2349
37,58471.769331,-5676.9,2.4,6.92,0.02,5.43,0.06,11.78,0.19,0.69,0.02,0.71,0.11,3.0535,23.1039
38,58471.839436,-5675.1,2.1,7.09,0.02,6.12,0.06,12.98,0.18,0.8,0.02,0.72,0.11,3.0435,23.1256
39,58474.739486,-5678.2,1.7,6.97,0.02,5.63,0.04,11.87,0.13,0.72,0.01,0.71,0.07,3.0555,23.163
40,58475.760885,-5674.3,1.9,6.9,0.02,5.34,0.04,11.5,0.14,0.71,0.02,0.63,0.08,3.0537,23.1053
41,58476.685187,-5673.6,1.9,6.96,0.02,5.48,0.04,12.07,0.14,0.69,0.02,0.64,0.07,3.0621,23.1765
42,58476.817227,-5673.9,1.7,6.94,0.02,5.36,0.04,12.22,0.14,0.73,0.01,0.71,0.08,3.0533,23.1327
43,58477.698843,-5674.0,1.8,6.85,0.02,5.33,0.04,11.68,0.12,0.69,0.02,0.69,0.06,3.0678,23.2818
44,58477.826172,-5673.6,1.9,6.9,0.02,5.48,0.05,11.94,0.16,0.73,0.02,0.72,0.11,3.049,23.0353
45,58478.696561,-5677.3,1.7,6.86,0.02,5.36,0.04,11.87,0.12,0.66,0.01,0.61,0.06,3.0657,23.3576
46,58478.841055,-5680.0,2.0,6.92,0.02,5.51,0.05,11.98,0.17,0.7,0.02,0.64,0.11,3.0477,23.0236
47,58479.711433,-5677.2,2.4,7.0,0.02,5.59,0.06,12.68,0.17,0.75,0.02,0.74,0.09,3.0612,23.3397
48,58479.836251,-5676.7,2.0,7.03,0.02,5.76,0.05,12.44,0.16,0.77,0.02,0.76,0.09,3.059,23.2074
49,58480.821145,-5673.6,1.9,6.84,0.02,5.45,0.05,12.0,0.16,0.7,0.02,0.65,0.1,3.0539,23.161
50,58484.810389,-5676.8,1.8,6.92,0.02,5.55,0.04,11.76,0.13,0.71,0.01,0.87,0.06,3.0495,23.2327
51,58486.766845,-5676.4,2.1,6.81,0.02,5.44,0.05,12.72,0.17,0.7,0.02,0.94,0.11,3.0549,23.2971
52,58487.733719,-5670.0,1.6,6.9,0.02,5.6,0.04,12.78,0.12,0.74,0.01,0.68,0.06,3.064,23.3876
53,58487.744379,-5670.5,1.5,6.87,0.02,5.45,0.03,12.18,0.11,0.7,0.01,0.69,0.05,3.0637,23.3679
54,58488.775224,-5675.3,1.7,6.99,0.02,5.8,0.04,13.1,0.13,0.71,0.01,0.68,0.07,3.0561,23.3104
55,58489.831949,-5681.2,2.9,6.87,0.03,5.27,0.07,10.74,0.24,0.72,0.03,0.54,0.17,3.0487,23.2357
56,58490.789656,-5682.7,2.2,6.91,0.02,5.59,0.06,12.23,0.18,0.79,0.02,0.87,0.11,3.0495,23.1391
