,bjd,rv,rv_err
62,58502.750267,7.155757575757889,1.6
63,58503.795048,-18.04424242424284,2.4
64,58504.749966,-4.444242424242475,1.9
65,58505.739653,1.355757575757707,2.3
66,58506.697811,-1.2442424242426569,1.7
67,58506.709223,-0.7442424242426569,1.6
68,58507.780868,-2.444242424242475,3.7
69,58509.552019,19.755757575757343,1.2
70,58511.568314,16.555757575757525,1.3
71,58512.581045,15.955757575757161,1.0
72,58514.801257,-1.644242424242293,2.0
73,58516.778059,-1.444242424242475,2.2
74,58516.788962,-0.944242424242475,2.0
75,58517.784447,3.555757575757525,2.3
76,58517.796183,-2.744242424242657,3.3
77,58518.763472,-1.5442424242428388,2.0
78,58520.759707,2.755757575757343,2.5
79,58520.77186,1.2557575757573431,3.1
80,58522.75571,2.4557575757571612,2.5
81,58522.766728,1.555757575757525,3.1
82,58523.757779,2.355757575757707,2.0
83,58523.769735,2.855757575757707,1.9
84,58524.753378,6.155757575757889,1.8
85,58524.765126,7.955757575757161,1.9
6,58524.78650296014,6.488114238095477,0.756483
86,58528.718492,1.355757575757707,2.4
87,58528.730217,1.555757575757525,2.5
88,58529.781939,-0.8442424242421112,2.9
89,58530.74808,-6.544242424242839,2.2
90,58530.759088,-2.944242424242475,2.1
91,58531.755542,-0.644242424242293,2.1
92,58531.767278,-0.34424242424211116,2.0
7,58532.68739863997,-0.5121427619042151,0.694006
8,58533.67201433983,-3.6415517619043385,0.642618
9,58535.76903434983,-1.6384317619040303,0.643476
10,58536.629871869925,-0.3030257619038821,0.73484
11,58537.66801908985,-6.136675761904371,1.315879
93,58537.749078,-4.944242424242475,1.7
94,58537.760281,-4.144242424242293,1.8
12,58538.67221206008,-1.2334547619038858,0.82247
95,58538.744268,-0.644242424242293,1.7
96,58538.755692,-0.8442424242421112,1.7
97,58539.716565,1.355757575757707,2.8
98,58539.728093,2.4557575757571612,2.5
99,58540.716941,0.7557575757573431,2.1
100,58540.728353,-2.0442424242428388,2.4
13,58540.748639409896,-3.5558727619045385,1.000597
14,58541.61709892005,-4.764918761904482,0.72863
101,58541.714284,-5.244242424242657,1.8
102,58541.725708,-3.344242424242111,1.8
15,58542.56942507019,-6.318225761904614,0.705554
103,58542.68702,-2.944242424242475,1.8
104,58542.698328,-3.744242424242657,1.9
16,58543.682559649926,-3.217538761904507,0.709597
