bjd,rv,rv_err,fwhm,fwhm_err,bis,bis_e,contrast,contrast_err,s,s_err,ha,ha_err,na,na_err,berv,inst
58562.64743523998,-5574.037845,0.849544,4513.277679,1.699087,16.265281,1.699087,42.413311,0.015967,0.744415,0.002711,0.629918,0.000147,0.071141,0.000086,2.825145,Pre
58568.65597468987,-5575.448387,0.713641,4523.826601,1.427281,17.964429,1.427281,42.560002,0.013428,1.063405,0.002215,0.734961,0.000125,0.088478,0.000073,2.150386,Pre
58573.62433242984,-5578.393119,0.619675,4521.593283,1.239350,19.402139,1.239350,42.582244,0.011672,0.774342,0.001653,0.606946,0.000101,0.070364,0.000058,1.603892,Pre
58601.56770909997,-5577.144615,1.213253,4520.468134,2.426506,18.037722,2.426506,42.536840,0.022833,0.807444,0.005092,0.630926,0.000216,0.088478,0.000135,-1.627694,Pre
58604.58743778011,-5574.229965,1.659114,4534.079581,3.318228,17.397256,3.318228,42.496797,0.031101,0.894929,0.007884,0.657005,0.000301,0.101449,0.000195,-1.981742,Pre
58609.54285403993,-5577.707751,1.547371,4530.881580,3.094741,23.747391,3.094741,42.543122,0.029058,0.761605,0.006939,0.611101,0.000278,0.081011,0.000174,-2.501505,Pre
58624.518284330145,-5581.650534,0.902954,4509.273289,1.805907,19.375205,1.805907,42.634660,0.017075,0.648783,0.003137,0.616464,0.000157,0.068940,0.000091,-4.007379,Pre
58625.47539150994,-5582.050577,1.412440,4508.096067,2.824880,18.927725,2.824880,42.629302,0.026713,0.633095,0.005817,0.619791,0.000264,0.081614,0.000161,-4.065710,Pre
58626.50326544,-5581.367219,0.735638,4506.915878,1.471277,19.504299,1.471277,42.682581,0.013934,0.616869,0.002302,0.607354,0.000122,0.065674,0.000070,-4.181496,Pre
58631.488960249815,-5580.949799,0.891366,4497.476453,1.782733,19.649460,1.782733,42.669900,0.016914,0.664779,0.003065,0.617681,0.000156,0.068261,0.000090,-4.614124,Pre
58632.50046005007,-5582.342835,1.295861,4498.695036,2.591723,18.644456,2.591723,42.669377,0.024582,0.617596,0.005568,0.614601,0.000235,0.071451,0.000141,-4.707543,Pre
58633.51409365982,-5583.458718,0.813784,4499.739824,1.627568,15.482292,1.627568,42.720327,0.015452,0.673316,0.002777,0.613100,0.000138,0.066809,0.000080,-4.799984,Pre
58634.491790810134,-5584.230160,0.833205,4501.981012,1.666409,19.183467,1.666409,42.702714,0.015806,0.542132,0.002806,0.599438,0.000141,0.062119,0.000081,-4.867155,Pre
58635.47196426988,-5576.016063,0.771261,4500.541648,1.542521,17.658956,1.542521,42.727403,0.014644,0.644307,0.002519,0.619498,0.000130,0.068585,0.000075,-4.933177,Pre
58636.50192369986,-5574.934006,1.337412,4506.706326,2.674825,16.749949,2.674825,42.736638,0.025365,0.568805,0.006012,0.578733,0.000235,0.070730,0.000145,-5.034085,Pre
58637.461898609996,-5579.076377,0.794118,4504.479429,1.588236,18.977920,1.588236,42.739480,0.015070,0.611011,0.002594,0.576290,0.000132,0.070016,0.000078,-5.083093,Pre
58638.492276929785,-5577.725046,0.856240,4504.227542,1.712479,21.412709,1.712479,42.510012,0.016162,0.712082,0.002917,0.609185,0.000146,0.068310,0.000085,-5.181935,Pre
58639.51213678997,-5573.717473,1.106009,4505.185765,2.212019,16.421402,2.212019,42.692056,0.020962,0.638660,0.004552,0.594365,0.000193,0.069524,0.000115,-5.268363,Pre
58754.86336803995,-5573.899350,0.675563,4521.409414,1.351126,18.549926,1.351126,42.635091,0.012741,0.678485,0.002261,0.601713,0.000103,0.093898,0.000066,-1.927948,Post
58792.826801210176,-5578.680705,0.650827,4500.544355,1.301655,18.863347,1.301655,42.701778,0.012350,0.638434,0.002098,0.595972,0.000099,0.076263,0.000062,2.414066,Post
58803.81139484001,-5576.477559,0.556784,4522.057500,1.113569,16.586970,1.113569,42.548560,0.010478,0.758138,0.001571,0.606138,0.000082,0.070987,0.000049,3.587627,Post
58810.79827880999,-5580.031165,0.678912,4525.369797,1.357825,16.932090,1.357825,42.611967,0.012786,0.796374,0.002235,0.606391,0.000105,0.071036,0.000064,4.279768,Post
58814.65228107013,-5579.639814,0.690866,4527.027559,1.381731,18.054293,1.381731,42.607602,0.013005,0.705264,0.002522,0.567910,0.000102,0.072130,0.000064,4.723207,Post
58814.66590865003,-5580.944244,0.714519,4526.652005,1.429038,19.831196,1.429038,42.626912,0.013457,0.733279,0.002642,0.573430,0.000107,0.073933,0.000068,4.720275,Post
58823.79097829992,-5573.821767,0.663301,4514.312812,1.326602,19.894815,1.326602,42.650989,0.012534,0.668329,0.002080,0.593939,0.000103,0.069476,0.000062,5.381601,Post
58842.758580360096,-5573.356010,0.582354,4522.770128,1.164709,20.719506,1.164709,42.617470,0.010975,0.757555,0.001701,0.625803,0.000088,0.083536,0.000054,6.505858,Post
58846.682987640146,-5573.118717,0.754947,4519.731115,1.509894,18.400093,1.509894,42.603813,0.014233,0.702286,0.002721,0.611125,0.000118,0.067658,0.000071,6.715655,Post
58850.76163886022,-5579.088745,0.698004,4513.156188,1.396008,15.103168,1.396008,42.624307,0.013185,0.627024,0.002342,0.598292,0.000108,0.064052,0.000064,6.753698,Post
58858.62032070989,-5581.151186,0.617978,4495.221239,1.235955,17.951154,1.235955,42.489156,0.011682,0.567702,0.001836,0.596684,0.000093,0.063177,0.000055,6.995020,Post
58868.80279069999,-5573.247804,0.558562,4496.441069,1.117124,19.165415,1.117124,42.706379,0.010610,0.608694,0.001644,0.572956,0.000080,0.062241,0.000048,6.787824,Post
